Name,Description,vegan,gluten free,vegetarian,calories,price,available ,food type
Tortilla Chips & Dips,"Tortilla Chips with a selection of dips, salsa, sour cream and guacamole",FALSE,FALSE,TRUE,60,3.29,TRUE,1
Mexico City nachos,"Nachos with Trealy Farm chorizo, cheese sauce, tomatillo &  avocado slsas",FALSE,TRUE,FALSE,120,5.95,TRUE,1
Veggie nachos,"Nachos with cheese sauce, tomatillo & avacado salsas",FALSE,TRUE,TRUE,80,5.25,TRUE,1
Roast tomato salsa with tortilla chips,"Roast tomato salsa with tortilla chips , a fresh lime and a touch of chilli",TRUE,TRUE,TRUE,100,3.95,TRUE,1
Hot Habanero Chicken Strips,served with small nachos and sour cream dip,FALSE,FALSE,FALSE,250,7.45,TRUE,1
Grilled tenderstem broccoli,Tossed in lime juice & ajillo dressing served with marinated red cabbage,TRUE,TRUE,TRUE,300,3.95,TRUE,2
Sweet potato,Crispy fried chunks tossed in smokey caramelised garlic mojo de ajo,FALSE,TRUE,FALSE,280,3.95,TRUE,2
Frijoles,Creamy black beans served with crumbled cheese & crema,FALSE,TRUE,TRUE,250,3.25,TRUE,2
Green Salad,"with avocado, corn & beans, topped with pumpkin seeds",TRUE,FALSE,TRUE,350,4.25,TRUE,2
Onion Rings,Served with a sour cream sauce,FALSE,FALSE,TRUE,430,3.25,TRUE,2
Pork pibil Tacos,"slow cooked in citrus & spices, with pink pickled onions",FALSE,TRUE,FALSE,550,4.99,TRUE,3
Steak & cheese,"Chargrilled steak served with grilled cheese, chipotle salsa & avocado",FALSE,TRUE,FALSE,650,10.99,TRUE,3
Black bean & three cheese,Served with smoky beans & avocado leaf,FALSE,FALSE,TRUE,450,6.99,TRUE,3
Grilled chicken club,"Served with avocado, lettuce, melted cheese & chipotle mayo",FALSE,FALSE,FALSE,520,6.49,TRUE,3
Roasted butternut squash Tacos,"With a creamy cashew nut and herb mole, citrusy tomatillo salsa and pumpkin seeds",TRUE,TRUE,TRUE,420,5.59,TRUE,3
Churros,Crips mexican doughnuts with rich chocolate sauce,FALSE,FALSE,TRUE,600,5.25,TRUE,4
Ice cream & sorbets,Served with a crisp cinnamon dusted bunuelo pastry and a salted caramel and vanilla sauce,FALSE,TRUE,TRUE,580,5.75,TRUE,4
Caramel Flan,Creamy flan tyoped with cajeta caramel,FALSE,TRUE,TRUE,330,5.25,TRUE,4
Chocolate & pecan brownie,With salted caramel ice cream & dulce de leche sauce,FALSE,FALSE,TRUE,430,5.95,TRUE,4
Fruit salad,"apple,watermelon, grapes and banana",TRUE,TRUE,TRUE,200,6,TRUE,4
